title,label,label_score
kpk tanggapi dpr penegakan hukum terikat komitmen politik,non-clickbait,0
pengacara dakwaan kivlan zen dipaksakan,non-clickbait,0
polisi belanda tembak mati istri 2 putrinya bunuh,non-clickbait,0
6 perampok bersebo tembak warga tewas sumsel,non-clickbait,0
tepis penyebab tunggal kabut asap ri surati malaysia,non-clickbait,0
jokowi mekarkan wilayah papua jk undang undangnya,non-clickbait,0
viral video diduga baku tembak sleman polisi,clickbait,1
kadis pu 2 pns kabupaten mandailing natal ditahan kejati sumut,non-clickbait,0
banding ditolak hak politik eks bupati katingan dicabut hakim,non-clickbait,0
kecelakaan beruntun 4 kendaraan lenteng agung 2 pemotor luka luka,non-clickbait,0
kpk bongkar mafia migas transaksi lintas negara mudah diungkap,non-clickbait,0
diawasi hong kong aktivis joshua terbang berlin,non-clickbait,0
anggota dprd surabaya gadaikan sk jaminan potong gaji,non-clickbait,0
ical jenguk bj habibie rspad doakan terbaik,non-clickbait,0
175 4 korporasi tersangka karhutla sumatera kalimantan,non-clickbait,0
fenomena gadai sk anggota dewan dprd serang,non-clickbait,0
akademisi mahasiswa unair tolak revisi uu kpk,non-clickbait,0
pegawai kpk surati fraksi dpr pilih capim lemahkan kpk,non-clickbait,0
waspada  penipuan catut pertamina korbannya rugi puluhan juta,clickbait,1
ekoturisme pelajaran negara,non-clickbait,0
refleksi 5 tahun dpd ri oso daerah,non-clickbait,0
mui riau pelaku karhutla taat beragama,non-clickbait,0
penyelundupan 19253 benih lobster tujuan singapura digagalkan makassar,non-clickbait,0
kecelakaan beruntun truk terbakar cipularang 2 luka,non-clickbait,0
berita negatif hnw khawatirkan moral bangsa indonesia,non-clickbait,0
kpk harap jeratan eks dirut petral buka kotak pandora mafia migas,non-clickbait,0
hamas tembak jatuh drone israel jalur gaza,non-clickbait,0
jpu keberatan kivlan zen didampingi kuasa hukum militer,non-clickbait,0
jaksa beberkan senpi peluru tajam pembelian kivlan zen cs rinciannya,clickbait,1
dishub polda data kebutuhan tle area perluasan ganjil genap,non-clickbait,0
polisi olah tkp kecelakaan maut tewaskan 3 nganjuk,non-clickbait,0
uang miliaran rupiah milik pemprov sumut hilang polisi turun tangan,non-clickbait,0
menkum ham cabut paspor veronica koman ketentuannya,non-clickbait,0
quality time keluarga  3 manfaatnya ,clickbait,1
menteri jokowi 55 profesional kandidatnya ,clickbait,1
lipi desak jokowi tolak revisi uu kpk lumpuhkan kinerja kpk,non-clickbait,0
penyerangan ditutup pemotor trotoar ditilang,non-clickbait,0
bareskrim tangkap 2 pembobol rugikan bank bumn rp 16 miliar,non-clickbait,0
pembekalan caleg terpilih demokrat sby arahan tertutup,non-clickbait,0
aktivis perempuan nilai ruu pks tersandera ruu kuhp,non-clickbait,0
teridentifikasi 4 korban kecelakaan cipularang diduga perempuan,non-clickbait,0
siswi smk bandung ditikam sekolah tolak cinta pelaku,non-clickbait,0
kunjung penuhi panggilan veronica koman dpo,non-clickbait,0
pria misterius berjubah putih viral sumut ingatkan tuhan murka,clickbait,1
polisi simpulkan bos sembako cilegon tewas bunuh,non-clickbait,0
menengok pantai mustika banyuwangi,non-clickbait,0
asap pekat selimuti riau pemprov gelar salat hujan besok,non-clickbait,0
kontrak politik capim kpk fahri taat undang undang,non-clickbait,0
caketum hipmi pengusaha ri jiwa nasionalisme kuat,non-clickbait,0
kpu solo ajukan dana rp 178 pilwalkot 2020,non-clickbait,0
utusan presiden gelar munas tokoh antaragama,non-clickbait,0
panggil veronica koman polisi tunggu pekan,non-clickbait,0
kpk tetapkan eks pejabat pertamina energy tersangka mafia migas,non-clickbait,0
dipeluk istri jalani sidang kivlan zen menangis,non-clickbait,0
video porno sumedang disebar pemeran pria motifnya ,clickbait,1
icw pertaruhkan kpk jokowi,non-clickbait,0
terungkap  video porno sumedang diperankan pasangan selingkuh,clickbait,1
bocah bekasi tewas bully kpad imbau keluarga melapor,non-clickbait,0
jk revisi uu kpk penuntutan koordinasi jaksa agung,non-clickbait,0
komisi iii dpr pastikan tampung masukan capim kpk,non-clickbait,0
tokoh papua diundang jokowi eks timses istana,non-clickbait,0
wagub jabar pekerja lingkungan pemprov jabar daftar bpjs tk,non-clickbait,0
anak cucu berkumpul temani bj habibie rspad gatot soebroto,non-clickbait,0
gara gara puntung rokok 28 hektare lahan sulteng terbakar,non-clickbait,0
topan faxai hantam jepang 17000 penumpang telantar bandara narita,non-clickbait,0
gajah mengamuk festival agama sri lanka 18 terluka,non-clickbait,0
waduk pacal bojonegoro surut lahan pertanian 4 kecamatan kekeringan,non-clickbait,0
komisi iii dpr gelar rdpu tampung masukan seleksi capim kpk,non-clickbait,0
hut 70 brigif raider 13 ziarah makam bupati galuh ciamis,non-clickbait,0
pesan kpk jokowi pembangunan tercapai digerogoti korupsi,non-clickbait,0
40 perguruan tinggi muhammadiyah indonesia tolak revisi uu kpk,non-clickbait,0
1904 pelanggar ditilang perdana perluasan ganjil genap kemarin,non-clickbait,0
4 polrestabes surabaya parkir bertingkat,non-clickbait,0
sepekan dilantik anggota dprd jabar gadai sk bank,non-clickbait,0
poyuono pemerintah dpr revisi uu kpk mudah rampok uang negara,non-clickbait,0
ratusan mahasiswa surabaya dukung revisi uu kpk,non-clickbait,0
abraham samad jokowi dpr setop pembahasan revisi uu kpk,non-clickbait,0
satgas karhutla investigasi penyebab kebakaran kebun tebu ptpn vii ogan ilir,non-clickbait,0
fenomena anggota dewan gadaikan sk dprd surabaya,non-clickbait,0
anies anggap perbaikan udara jakarta ganjil genap instan,non-clickbait,0
tepis kabar bully polisi bocah meninggal bekasi akibat tetanus,non-clickbait,0
tokoh papua bicara jokowi persaingan penduduk lingkungan,non-clickbait,0
kritik revisi uu kpk rektor ipb pemuka agama tolak pelemahan kpk,non-clickbait,0
menggalang pembiayaan kota,non-clickbait,0
pasukan kostrad dikerahkan tangkap pelaku karhutla riau,non-clickbait,0
kendaraan listrik bebas aturan ganjil genap alasannya,clickbait,1
satunya korban selamat kecelakaan maut nganjuk diciduk narkoba,non-clickbait,0
home industry arak sidoarjo digerebek diamankan,non-clickbait,0
jokowi papua telat oktober resmikan jembatan holtekamp,non-clickbait,0
trump umumkan perundingan damai taliban mati,non-clickbait,0
kebijakan gila jokowi,clickbait,1
jokowi janjikan 1000 sarjana papua bumn perusahaan,non-clickbait,0
bayi kaki tangannya putus tangerang serahkan polisi,non-clickbait,0
pengusutan kpk mafia migas terkait petral,non-clickbait,0
banyuwangi perawat kolaborasi bikin sehat usaha wisata warga,non-clickbait,0
korban kecelakaan maut nganjuk dpo narkoba,non-clickbait,0
kabut asap bikin penerbangan banjarmasin terganggu,non-clickbait,0
tokoh papua jokowi bangun istana presiden papua,non-clickbait,0
jaksa kpk ma tolak pk novanto,non-clickbait,0
 pemkot pekanbaru liburkan sd smp kabut asap,clickbait,1
tata umroh urutan bacaannya,non-clickbait,0
40 persen dewan ciamis gadaikan sk ketua mencuri uang negara,non-clickbait,0
seputar kecelakaan maut jalur nganjuk madiun tewaskan 3,non-clickbait,0
pj walkot makassar rilis edaran antisipasi syiah rekomendasi mui,non-clickbait,0
dipimpin ibas demokrat gelar pembekalan anggota legislatif 2019 2024,non-clickbait,0
jokowi tahun istana presiden papua dibangun,non-clickbait,0
jokowi undang tokoh papua istana,non-clickbait,0
china geram pernyataan menlu as perlakuan uighur,non-clickbait,0
oso revisi uu kpk melemahkan,non-clickbait,0
154 pelanggar ditilang jakbar alasannya ganjil genap,non-clickbait,0
gubernur khofifah gandeng isei kembangkan one pesantren one product,non-clickbait,0
sby jenguk bj habibie rspad gatot soebroto,non-clickbait,0
hut 74 tni al tingkatkan sdm indonesia maju,non-clickbait,0
buka luwur sunan kudus ribuan paket nasi berkat dibagikan,non-clickbait,0
pdip nilai pidato kontemplasi sby sejalan ide jokowi,non-clickbait,0
2 ribu hektare lahan terbakar udara palembang sehat ,clickbait,1
pelemahan kpk demokrasi,non-clickbait,0
kpk panggil wakil ketua komisi xi terkait anggota dpr pan,non-clickbait,0
kabut asap pekat riau ganggu penerbangan,non-clickbait,0
petugas cek pajak pelanggar ganjil genap cokelat,non-clickbait,0
tim pelajar dki raih juara olimpiade metropolis moskow,non-clickbait,0
status tersangka veronica koman disoal polri praperadilan,non-clickbait,0
viral bocah bekasi tewas akibat bully ketua rt,clickbait,1
pemkab ponorogo ajukan 531 formasi cpns p3k,non-clickbait,0
ganjil genap dishub sosialisasi maksimal,non-clickbait,0
dishub dki perluasan ganjil genap tingkatkan pengguna sepeda motor,non-clickbait,0
anggota dprd banten ramai ramai gadai sk kemendagri,clickbait,1
asap karhutla parah jarak pandang riau 800 meter,non-clickbait,0
perluasan ganjil genap dishub volume lintas turun signifikan,non-clickbait,0
aktor intelektual rusuh papua dicari,non-clickbait,0
kpk umumkan tersangka mafia migas terkait petral siang,non-clickbait,0
puntung rokok pembalut bekas ratusan kilo sampah pantai gold coast,non-clickbait,0
asap pekat kepung pekanbaru polantas bagikan masker pengendara,non-clickbait,0
santri probolinggo sambut 10 muharam pawai obor,non-clickbait,0
yuk bantu jokowi cari menteri ikuti polling detikcom ,clickbait,1
beda 2 eks komisioner kpai polemik pb djarum,non-clickbait,0
ratusan keluarga queensland mengungsi hindari kebakaran kian memburuk,non-clickbait,0
penerapan tilang elektronik busway ditargetkan oktober 2019,non-clickbait,0
dangdutan maut tewaskan 2 pria bekasi 4 pelaku ditangkap,non-clickbait,0
contoh pemotor serang pejalan kaki trotoar maaf,non-clickbait,0
kebakaran gudang penjaringan padam kerugian ditaksir rp 2,non-clickbait,0
atasi kabut asap indonesia malaysia rencanakan hujan buatan,non-clickbait,0
polisi bongkar perdagangan wanita kepri korbannya dijadikan psk,non-clickbait,0
gegara potong kabel anies disomasi apjatel,non-clickbait,0
anggota baleg dpr revisi uu kpk seimbangkan pencegahan penindakan,non-clickbait,0
john chardon terbukti bersalah kematian istrinya novy,non-clickbait,0
kpai pengembangan bakat bulutangkis jalan sesuai regulasi,non-clickbait,0
berharap mati kpk yasonna hati hati,non-clickbait,0
korut nyatakan bertemu as bahas denuklirisasi september,non-clickbait,0
bmkg prediksi cuaca jakarta cerah,non-clickbait,0
polri teruskan pengajuan red notice veronica koman interpol,non-clickbait,0
personel polres jakbar satpam ampg pro bamsoet dipolisikan,non-clickbait,0
asap pekat siswa sd pekanbaru sekolah,non-clickbait,0
petani blitar biarkan tomat membusuk harga anjlok,non-clickbait,0
dishub dki perluasan ganjil genap perbaiki kualitas udara,non-clickbait,0
sby ajak rakyat dukung jokowi istana bentuk kesantunan politik,non-clickbait,0
asyura pemkot makassar rilis edaran antisipasi penyebaran syiah,non-clickbait,0
polisi periksa kadis tersangka pencium pipi staf selfie pekan,non-clickbait,0
bahas seleksi capim kpk komisi iii temui koalisi masyarakat sipil,non-clickbait,0
pabrik tiner kalideres terbakar 15 mobil damkar dikerahkan,non-clickbait,0
sby ajak rakyat dukung jokowi ppp simpatik negarawan,non-clickbait,0
jenguk bj habibie sby batal buka pertemuan nasional fraksi demokrat,non-clickbait,0
kualitas udara buruk libur siswa sd jambi diperpanjang,non-clickbait,0
curhat warga desa digital sukabumi berburu sandi wi fi gratis,non-clickbait,0
bus transj ditabrak mobil lalin menteng arah rasuna said macet,non-clickbait,0
pelanggar jalur perluasan ganjil genap jakpus,non-clickbait,0
besok polisi panggil ketum fpi terkait dugaan makar,non-clickbait,0
anggota dprd banten ramai ramai gadai sk pimpinan ranah pribadi,non-clickbait,0
bupati bogor pemprov dki bantu tangani sampah kalibaru,non-clickbait,0
polisi cek kebenaran bocah bekasi tewas akibat bully,non-clickbait,0
ibas banggakan kinerja sby caleg terpilih demokrat jadikan contoh,non-clickbait,0
korut tembakkan proyektil dikenal tawarkan dialog as,non-clickbait,0
airlangga tegaskan golkar inisiator revisi uu kpk,non-clickbait,0
kabin budi gunawan buka pertemuan jokowi 61 tokoh papua istana,non-clickbait,0
pemimpin hong kong ingatkan as campur aksi demo,non-clickbait,0
pj walkot makassar edaran antisipasi syiah disikapi tenang,non-clickbait,0
10 poin aspirasi tokoh papua bertemu jokowi istana,clickbait,1
cerita jokowi 12 papua provinsi maksimal 3,non-clickbait,0
mantan atlet artis netizen ramai ramai bela pb djarum,non-clickbait,0
viral  perampok bercelurit satroni rumah makan gratis duafa bogor,clickbait,1
aspirasi tokoh papua jokowi generasi muda dihukum,non-clickbait,0
air pdam 60 ribu warga mampet dampak pembangunan alun alun suroboyo,non-clickbait,0
menlu bicara diplomasi digital ekonomi,non-clickbait,0
perhatian  nama nama kandidat menteri jokowi,clickbait,1
barang impor izin senilai rp 8 miliar dimusnahkan,non-clickbait,0
polres sumedang buru penyebar video porno pasangan dewasa,non-clickbait,0
kpu kendala 18 kpu daerah usulkan nphd pilkada,non-clickbait,0
polres bogor kejar perampok bercelurit rumah makan gratis duafa,non-clickbait,0
airlangga siswono bicara revisi uu kpk seleksi capim,non-clickbait,0
ketum fpi dipanggil terkait makar besok pengacara jadwal ulang,non-clickbait,0
kepala bppt doakan bj habibie eyang intelektual pulih,non-clickbait,0
hotel kafe rumah sakit surabaya batasi air dampak pdam mampet,non-clickbait,0
ptun pemkot cimahi batalkan imb guest house setra duta,non-clickbait,0
pimpinan bank bumn purbalingga tersangka kredit fiktif rp 28,non-clickbait,0
tokoh papua benny wenda berhak atur nkri,non-clickbait,0
kebakaran rumah grobogan pria penderita stroke tewas terbakar,non-clickbait,0
lahan istana kepresidenan papua disertifikatkan,non-clickbait,0
kritik pb djarum kpai fokus urus anak jalanan,non-clickbait,0
alasan anggota dprd banten gadaikan sk renovasi rumah bayar kuliah anak,non-clickbait,0
pengurus golkar protes perubahan prosedur rapat korbid,non-clickbait,0
pemkot bandung evaluasi program street library digagas ridwan kamil,non-clickbait,0
poyuono ajak rakyat kepung dpr istana tolak revisi uu kpk,non-clickbait,0
dishub dki uji coba ganjil genap 3 minggu kemarin kendaraan turun 25,non-clickbait,0
jalani sidang kivlan zen pengadilan pakai kursi roda,non-clickbait,0
3 tewas drama penembakan keluarga belanda,non-clickbait,0
pasang status single kehidupan novy chardon,clickbait,1
anggota dprd surabaya gadai sk bank ketua wajar,non-clickbait,0
laporan dicabut mobil goyang halaman pengadilan damai,non-clickbait,0
siswi smk bandung dilarikan rs gegara ditikam sekolah,non-clickbait,0
sidang gugatan ikan koi mati saksi pln bicara,clickbait,1
putra bj habibie terbaik,non-clickbait,0
puro pakualaman gelar upacara hajad dalem labuhan pantai glagah,non-clickbait,0
permukaan air susut bekas desa dasar waduk gajah mungkur muncul,non-clickbait,0
270 panwaslu usulkan nphd pilkada 2020,non-clickbait,0
pdip jatim buka pendaftaran pilkada 14 september,non-clickbait,0
anggaran erp apbd dki 2020,non-clickbait,0
kecelakaan tol cipularang truk terbakar km 91,non-clickbait,0
truk oleng tanjakan emen penumpang tewas,non-clickbait,0
jk efek kpk pejabat bumn hati hati takut,non-clickbait,0
perampok rm gratis duafa bogor makan,non-clickbait,0
jokowi mekarkan wilayah papua wiranto masukan,non-clickbait,0
google pajak media digital asing,non-clickbait,0
ibas yudhoyono kpk dilemahkan diperkuat ,non-clickbait,0
fenomena anggota dprd gadaikan sk bank gejala ,clickbait,1
kivlan zen didakwa 4 senpi ilegal peluru tajam,non-clickbait,0
jaksa duit ratusan juta habil marati kivlan zen cs,non-clickbait,0
pesan habil marati duit senpi kivlan cs bangsa semangat,non-clickbait,0
kivlan zen kaliber 22 tikus cari senpi pemilu,non-clickbait,0
tersangka mafia migas bikin penampung duit suap british virgin island,non-clickbait,0
mafia migas eks bos petral kpk geledah 5 lokasi,non-clickbait,0
jk jokowi kirim surat presiden dpr bahas revisi uu kpk,non-clickbait,0
puluhan rumah bantaran bengawan solo terancam terbawa longsor,non-clickbait,0
ajukan eksepsi kivlan zen dakwaan ,non-clickbait,0
komisi iii dpr ipw cs dukung hasil pansel capim kpk,non-clickbait,0
wali kota cirebon instansi swasta pasang cctv intai penjahat,non-clickbait,0
terdampak tol desari jalan tanah depok diperlebar tahun,non-clickbait,0
penyelundupan 74 ekor burung dilindungi berhasil digagalkan,non-clickbait,0
angka aman pemangkasan pph korporasi,non-clickbait,0
9 pasangan mesum buleleng bali terciduk operasi yustisi,non-clickbait,0
seratusan karyawan pabrik boneka sukabumi keracunan makanan,non-clickbait,0
banyuwangi raih penghargaan kemenkum ham,non-clickbait,0
polisi selidiki veronika koman alirkan dananya,non-clickbait,0
gubernur edy rahmayadi sungai deli rusia,non-clickbait,0
pengakuan bos investasi bodong mojokerto rugikan korban rp 7,non-clickbait,0
kabar denda rp 1 juta pembeli zona merah pkl bandung ,clickbait,1
sidang habil marati ditunda gara gara didampingi pengacara,non-clickbait,0
jadwal ulang pemeriksaan polisi tunggu kehadiran ketum fpi besok,non-clickbait,0
garbi partai gelora fahri hamzah bergabung,non-clickbait,0
danai pembelian senpi kivlan habil marati fitnah,non-clickbait,0
jk banyaknya ott kpk prestasi,non-clickbait,0
anggota komisi iii dpr ngaku dilobi pendukung capim kpk terima,non-clickbait,0
mengaku dihamili wanita blitar adukan kades polisi,non-clickbait,0
penyandang disabilitas penjaringan bacabup bacawabup jember,non-clickbait,0
aksi mahasiswa uns peringati kematian munir jokowi serius,non-clickbait,0
fadli zon pastikan sandiaga gabung gerindra,non-clickbait,0
kecelakaan maut nganjuk tewaskan 3 10 saksi diperiksa,non-clickbait,0
menteri lhk kabut asap malaysia bilang indonesia,non-clickbait,0
munarman kertanegara 17 april ketum fpi bingung dipanggil polisi,non-clickbait,0
warga wonogiri tewas terbakar bersihkan pekarangan,non-clickbait,0
dprd usul posisi wagub dki jakarta,non-clickbait,0
polisi ganjil genap jl rs fatmawati pelanggaran turun,non-clickbait,0
buang bayi mengenaskan tangerang mahasiswi,non-clickbait,0
bantah media malaysia bmkg asap karhutla lintasi kuala lumpur,non-clickbait,0
gabung gerindra sandiaga bicara prabowo,non-clickbait,0
intelijen militer jerman perluas penyelidikan pengaruh ekstrem kanan,non-clickbait,0
diduga korban tabrak lari sati tewas tol tb simatupang pagi,non-clickbait,0
hinca sby kader pd pastikan pemerintahan,non-clickbait,0
putra bj habibie kritis stabil istirahat,non-clickbait,0
mobil crane ambruk timpa kapal pelabuhan semarang,non-clickbait,0
geramnya keluarga hoax bj habibie meninggal dunia,clickbait,1
pria oknum pns diduga cabuli 4 gadis umur sleman,non-clickbait,0
buka career expo gubernur khofifah kenalkan mobile training unit,non-clickbait,0
putra habibie lemas beraktivitas,non-clickbait,0
pelaku pelecehan seksual krl diamankan stasiun duren kalibata,non-clickbait,0
ketua dpr penanganan papua progresif,non-clickbait,0
eks gubernur aceh abdullah puteh divonis 15 tahun penjara penipuan,non-clickbait,0
dugaan penipuan rp 75 eks ketua hipmi sultra ditangkap,non-clickbait,0
sandiaga balikan gerindra,non-clickbait,0
keluarga batasi kunjungan tamu jenguk bj habibie,non-clickbait,0
bermodal ganjil genap anies perangi polusi bertahap,non-clickbait,0
divonis 15 tahun bui eks gubernur aceh abdullah puteh banding,non-clickbait,0
air pdam mampet 4 risma nggak gitu telkom blackout,non-clickbait,0
latihan gabungan paskhas tni au terjun rebut bandara banyuwangi,non-clickbait,0
taman nasional gunung merbabu pantau kebakaran hutan,non-clickbait,0
kendala laa stasiun klender krl jatinegara cakung terganggu,non-clickbait,0
pengacara hadir sidang 4 gugatan praperadilan kivlan zen ditunda,non-clickbait,0
gempa 34 palu,non-clickbait,0
mpr ramaikan festival konstitusi anti korupsi ugm,non-clickbait,0
pemkot parepare gelar zikir doakan kesembuhan bj habibie,non-clickbait,0
revisi uu kpk bikin anggota dpr kebal hukum,non-clickbait,0
wagub jabar uu sesalkan penusukan santri cirebon,non-clickbait,0
bayi mengenaskan tangerang dikubur ibunya dibuang,non-clickbait,0
kualitas udara kota jambi malam kategori berbahaya,non-clickbait,0
pemprov dki danai pembangunan park and ride bekasi 2020,non-clickbait,0
kpk respons tudingan zalim adik imam nahrawi 2 bukti,non-clickbait,0
video detik detik mahasiswa merusak pagar dpr,clickbait,1
kpk dalami aliran duit suap eks menpora imam nahrawi,non-clickbait,0
pertamina kucurkan dana rp 625 juta atasi kebakaran riau,non-clickbait,0
penyebab sulitnya padamkan kebakaran gunung sumbing,clickbait,1
fit and proper test capim kpk giliran nyoman wara diuji,non-clickbait,0
jasmas surabaya anggota dprd penyidikan objektif,non-clickbait,0
pertemuan bilateral awali kegiatan menlu high level week sidang umum pbb,non-clickbait,0
malam malam sekdes tni cek gunung sampah pinggir ciliwung cilebut,non-clickbait,0
stasiun mrt tampilkan ragam seni budaya indonesia,non-clickbait,0
menlu indonesia timor leste australia bertemu pbb dibahas,clickbait,1
tangkap perusuh slipi jakbar polisi terluka dipukul massa,non-clickbait,0
lokasi diduga mahasiswa halu oleo kendari tertembak,clickbait,1
kapolrestabes medan hoax meninggal,non-clickbait,0
massa pro revisi uu demo kpk pesertanya korlap,non-clickbait,0
polisi prioritaskan perbaikan rumah warga rusak,non-clickbait,0
randi mahasiswa halu oleo tewas tertembak imm aksi tutup jl menteng raya,non-clickbait,0
uang rp 16 raib 3 pejabat pemprov sumut dinonaktifkan,non-clickbait,0
massa aksi kpk bubarkan,non-clickbait,0
berduka tgb kenang beasiswa habibie kuliah kairo mesir,non-clickbait,0
pengesahan rkuhp ditunda pemerintah waktu sosialisasi,non-clickbait,0
polri kronologi rusuh maut jayapura aparat diserang,non-clickbait,0
petugas dishub laporkan aksi pemukulan driver ojol senen polisi,non-clickbait,0
purnomo teguh daftar cawalkot solo peluang gibran tertutup ,clickbait,1
memanas mahasiswa penolak uu kpk rkuhp lempar botol dorong pagar,non-clickbait,0
rapat gabungan pimpinan mpr sepakat ubah tata tertib rinciannya,clickbait,1
pengelola pedagang hi tech mall bayar listrik air,non-clickbait,0
rusuh wamena 16 warga tewas,non-clickbait,0
kordum gejayan memanggil bantah aksi ditunggangi kepentingan politik,non-clickbait,0
kpai polri kejar penyebar undangan pelajar aksi dpr,non-clickbait,0
waria spesialis pembobol vila bali dituntut 15 tahun penjara,non-clickbait,0
resah gelandangan didenda anak punk demo jalan gatot subroto,non-clickbait,0
jauhi pantai warga ngungsi dataran tinggi gegara gempa ambon,non-clickbait,0
warga riau terdakwa narkoba divonis mati pn medan,non-clickbait,0
polisi tetapkan 27 tersangka pembakar lahan sumsel,non-clickbait,0
polres banyuwangi gelar expo kendaraan warga hilang,non-clickbait,0
tewas mahasiswa halu oleo kendari kritis,non-clickbait,0
gelombang demo indonesia tolak uu kpk 4 ruu jokowi lempar dpr,non-clickbait,0
bubarkan peserta aksi gejayan memanggil punguti sampah,non-clickbait,0
pemkot surabaya tawarkan pengelolaan hi tech mall rp 185,non-clickbait,0
panas  mahasiswa pendemo pro uu kpk lempar botol dpr,clickbait,1
ribuan warga bantul gelar kirab siwur jelang upacara nguras enceh,non-clickbait,0
satgas karhutla pemprov dki dikirim kalteng,non-clickbait,0
jelang pilkada 2020 3412 warga sleman rekam ktp,non-clickbait,0
demo tolak ruu kuhp digelar ribuan mahasiswa tulungagung,non-clickbait,0
polri dalami mahasiswa halu oleo tewas tertembak demo,non-clickbait,0
sebulan polisi buru perampok rm gratis duafa bogor,non-clickbait,0
tangki air padamkan api tanah ponorogo,non-clickbait,0
kadernya tewas berdemo kendari imm kecam keras tindakan represif,non-clickbait,0
gunung merbabu membara 600 ha lahan hangus terbakar,non-clickbait,0
polisi pasang police line lahan tanahnya keluarkan api,non-clickbait,0
disdik sulsel 213 pelajar demo diamankan polda,non-clickbait,0
polisi tenang hadapi demo mahasiswa prabowo contohkan prancis,non-clickbait,0
al azhar doa kesembuhan faisal amir mahasiswa kampus hadir,non-clickbait,0
konvoi pelajar serang polisi medan 5 diamankan,non-clickbait,0
dokter pastikan mahasiswa halu oleo tewas tertembak,non-clickbait,0
mahasiswa universitas halu oleo tewas tertembak demo,non-clickbait,0
bmkg prediksi musim kemarau berlanjut november,non-clickbait,0
ylbhi mahasiswa dikontak demo dpr polri,clickbait,1
ricuh demo unhas polisi amankan massa aksi,non-clickbait,0
diduga danai aktivitas terorisme 3 prt indonesia ditahan singapura,non-clickbait,0
penunggak pajak kota bandung capai rp 1 triliun,non-clickbait,0
35 tewas pesta pernikahan akibat serangan pasukan afghanistan,non-clickbait,0
pemprov jambi buka lahan dibakar kesadaran ditingkatkan,non-clickbait,0
jelang kota bandung penataan pkl cicadas 40 persen,non-clickbait,0
video demo mahasiswa bandung memanas,clickbait,1
wamena rusuh 7 polisi terluka serangan panah,non-clickbait,0
bmkg titik panas terpantau kalteng kalsel kaltim,non-clickbait,0
pemadaman karhutla muba sumsel terkendala akses sulit,non-clickbait,0
gerindra jateng jajaki koalisi pdip pilkada 2020,non-clickbait,0
pengakuan gila pelaku pemerkosaan bondowoso,clickbait,1
spanduknya bertebaran solo gibran bentuk dukungan masyarakat,non-clickbait,0
jaksa kpk cecar sofyan basir pertemuan setya novanto,non-clickbait,0
mpr sidang jabatan 27 september sahkan tatib 10 pimpinan,non-clickbait,0
wamena rusuh polisi knpb berbaju seragam sma susupi aksi pelajar,non-clickbait,0
bawa 45 bukti kpk penetapan tersangka bupati kudus sesuai prosedur,non-clickbait,0
parkir sepeda motor penuh ribuan mahasiswa jalan kaki dprd jatim,non-clickbait,0
ambulans dituduh bawa batu pemprov dki rehabilitasi nama,non-clickbait,0
terobos barikade polisi mahasiswa pelajar duduki gedung dprd sultra,non-clickbait,0
6 mahasiswa unjani ditangkap jakarta demonstran turun jalan,non-clickbait,0
ruu kuhp dibatalkan tukang gigi jabar ancam geruduk dpr ri,non-clickbait,0
kebakaran bedeng proyek kemayoran jakpus 9 mobil damkar dikerahkan,non-clickbait,0
