title,source,date,time,category,sub-category,content,url
Gagal Rekrut Lionel Messi Jadi Penyesalan Terbesar di Hidup Arsene Wenger,liputan6.com,2019-09-10,06:20,Bola,Liga Inggris," Arsenal ternyata pernah berpeluang untuk merekrut , Jauh sebelum Messi bersinar dengan Barcelona sejak 2004, Arssenal menjadi klub pertama yang nyaris mendapatkan bintang cerdas dari Argentina tersebut.,Manajer Arsenal, Arsene Wenger pun menceritakan betapa dekatnya Messi gabung dengan The Gunners. Itu terjadi pada 2003.,Saat itu, Arsenal baru saja merekrut Cesc Fabregas. Wenger mengaku menyesal tidak ngotot untuk mengejar , juga saat itu.,""Anda harus hidup dengan rasa penyesalan di hidup Anda ya. Hanya ada satu bisnis yang gagal dan mendapatkan Lionel Messi salah satunya,"" kata Wenger seperti dikutip Marca.,""Kami saat itu negoisasi dengan Barcelona soal , Itu terjadi saat kami boyong Fabregas karena Messi main dengan dia."", ,Wenger mengaku kagum dengan pemain-pemain muda yang dihasilkan Barcelona. Dia tak bisa membayangkan betapa hebatnya tim yang dimiliki Barcelona saat itu.,""Anda bisa sadar punya tim muda yang fantastis saat Anda adalah klub seperti Barcelona,"" ujarnya.,""dalam satu tim ada Messi, Pique dan Fabregas. Pique dan Fabregas hijrah ke Inggris, Messi bertahan di Spanyol. Kami tertarik dengan dia, tapi Messi tak bisa disentuh saat itu.""",https://www.liputan6.com/bola/read/4058670/gagal-rekrut-lionel-messi-jadi-penyesalan-terbesar-di-hidup-arsene-wenger
Bintang Thailand Targetkan 3 Poin di Markas Timnas Indonesia,liputan6.com,2019-09-10,09:20,Bola,Liga Indonesia," Jakarta - Pemain Thailand, Chanathip Songkrasin, optimistis bisa meraih hasil positif saat bertanding melawan , pada laga kualifikasi Piala Dunia 2022 di Jakarta. Chanathip yakin kalau Thailand bisa mengatasi tekanan dari suporter Indonesia.,Chanathip menyadari kalau bermain melawan , di Jakarta adalah hal yang berat. Namun, Chanathip menjaga optimisme negaranya untuk bisa meraih poin penuh.,""Bermain sebagai tamu selalu terasa sulit, apalagi di Jakarta. Kami harus bermain di depan pendukung Indonesia,"" ujar Chanathip.,""Tidak mudah menghadapi tekanan dari mereka. Namun, tujuan kami adalah meraih tiga poin,"" ungkap Chanathip Songkrasin.,Pada pertandingan pertama Grup G, Thailand bermain tanpa gol ketika menghadapi Vietnam di Stadion Thammasat, Pathum Thani. Laga melawan , akan menjadi pertandingan kedua Thailand pada laga kualifikasi Piala Dunia 2022.,Chanathip Songkrasin mengatakan kalau awal dari kunci keberhasilan adalah menjalankan instruksi pelatih dengan maksimal. Menurutnya, Thailand memiliki potensi yang besar untuk meraih hasil positif.,""Kami akan bermain sesuai dengan arahan pelatih. Kita wajib melakukan yang terbaik dan hasil akan mengikuti."",""Sebenarnya, saya senang bermain di Indonesia dengan suporternya yang luar biasa. Saya harap, mereka bisa memenuhi stadion pada laga nanti,"" ungkap Chanathip. ,Sumber: Thairath",https://www.liputan6.com/bola/read/4058718/bintang-thailand-targetkan-3-poin-di-markas-timnas-indonesia
Legenda MU: Aguero Terlahir Sebagai Bek Bukan Penyerang,liputan6.com,2019-09-10,09:30,Bola,Liga Inggris," Eks bek ,, Nemanja Vidic menyebut Sergio Aguero sebagai salah satu lawan tersulit yang pernah dihadapi. Ia menyebut Aguero sangat mengerti bagaimana mengelabui lawan.,Vidic membela , selama delapan musim. Selama di sana ia menghadapi berbagai tipikal striker di dunia.,Khusus melawan Aguero, Vidic sering menghadapinya di Liga Inggris. Apalagi tensi selalu memanas karena Aguero membela klub rival MU, Manchester City.,""Saya yakin Aguero terlahir sebagai bek. Dia sangat mengerti di mana bola akan datang dan di mana dia bisa menyerang,"" kata Vidic seperti dilansir ,""Aguero tidak terlihat seperti pemain yang bisa berlari cepat lalu menjebol gawang lawan. Bahkan saya melihat dia tidak tertarik dengan sepak bola,"" ujar eks kapten , itu tersenyum., , ,Vidic pun masih teringat dengan kekalahan telak MU saat melawan Manchester City di era David Moyes.,""Jujur itu salah satu pertandingan terburuk saya. Aguero sangat cepat dalam menembak, jago menggiring bola, dan bisa mencetak gol dari luar kotak penalti,"" kata Vidic.,""Jika harus memilih maka saya pilih laga itu dan final melawan Barcelona di Wembley menjadi laga terburuk saya."",18.30 WIB, Liverpool vs Newcastle United,21.00 WIB, Brighton Albion vs Burnley FC,21.00 WIB, Manchester United vs Leicester City,21.00 WIB, Sheffield United vs Southampton,21.00 WIB, Tottenham Hotspur vs Crystal Palace,21.00 WIB, Wolverhampton vs Chelsea,23.30 WIB, Norwich City vs Manchester City,20.00 WIB, Bournemouth vs Everton,22.30 WIB, Watford vs Arsenal,02.00 WIB, Aston Villa Vs West Ham",https://www.liputan6.com/bola/read/4058723/legenda-mu-aguero-terlahir-sebagai-bek-bukan-penyerang
Van Dijk Tolak Pinangan Real Madrid,liputan6.com,2019-09-10,09:45,Bola,Liga Spanyol," Virgil van Dijk telah menjelma salah satu bek terbaik di dunia saat ini sejak bergabung dengan Liverpool. Kehebatan Van Dijk rupanya membuat , tertarik merekrutnya.,Van Dijk merupakan salah satu kunci sukses Liverpool menjuarai Liga Champions musim lalu. Aksi menawan Van Dijk membuatnya dinobatkan sebagai pemain terbaik Eropa dan berpeluang meraih Ballon d'Or.,Aksi menawan Van Dijk membuat Liverpool berencana menambah kontraknya. The Reds bersedia menaikkan gaji pria asal Belanda tersebut.,Langkah ini dilakukan Liverpool setelah munculnya ketertarikan dari , terhadap mantan pemain Groningen itu.,Menurut jurnalis Italia Nicolo Shira, , ingin merekrut Van Dijk musim panas lalu. Namun pinangan tersebut ditolak eks pemain Southampton., ,""Liverpool ingin menyelesaikan kontrak baru untuk Van Dijk hingga 2025. Mereka sedang berbicara dengan agennya dan menawarkan gaji baru 12,5 juta euro per musim ditambah bonus,"" ujar Nicolo.,""Real Madrid tertarik padanya tapi Van Dijk tidak mempertimbangkan untuk pergi,"" lanjut Nicolo yang merupakan jurnalis Calciomercato.,Van Dijk sangat vital bagi Liverpool. Sejak kehadiran Van Dijk, gawang The Reds sangat sulit kebobolan. Van Dijk juga sering membuat gol lewat sundulan.",https://www.liputan6.com/bola/read/4058730/van-dijk-tolak-pinangan-real-madrid
"Jadwal Timnas Indonesia vs Thailand di Kualifikasi Piala Dunia 2022, Siaran Langsung Televisi",liputan6.com,2019-09-10,12:05,Bola,Liga Indonesia," , akan memainkan laga kedua di ajang kualifikasi Piala Dunia 2022. Di putaran kedua Grup G zona Asia, Tim Merah Putih akan menjamu Thailand di Stadion Gelora Bung Karno (SUGBK).,Menang, tentu menjadi target yang harus diwujudkan ,. Pasalnya di laga pertama, tim asuhan Simon McMenemy ini, kalah 2-3 dari Malaysia di SUGBK.,Memang, bukan pekerjaan mudah mengalahkan Thailand. Namun tentu peluang itu tetap terbuka lantaran kita akan bermain di kandang sendiri.,Di sisi lain, Thailand sendiri hanya bermain imban 0-0 lawan Vietnam di laga pertama mereka. Selain Indonesia, Thailand, Malaysia, dan Vietnam di Grup G masih ada Uni Emirat Arab.,Berikut jadwal , vs Thailand yang akan disiarkan langsung oleh TVRI dan Mola TV., ,: Andritany Ardhiyasa (Kiper); Yustinus Pae, Victor Igbonefo, Yanto Basna, Ricky Fajrin (Belakang); Zulfiandi, Evan Dimas; Saddil Ramdani, Stefano Lilipaly, Andik Vermansah (Tengah); Alberto Goncalves (Depan),: Simon McMenemy,: Kawin Thamsatchanan (Kiper); Pansa Hemvibon, Tristan Do, Manuel Bihr, Theeratorn Boonmatan (Belakang); Tanaboon Kesarat, Sarach Yooyen, Phitiwat Sukjitthammakul, Supachok Sarachart, Chanathip Songkrasin (Tengah); Supachai Jaided (Depan),: Akira Nishino",https://www.liputan6.com/bola/read/4058930/jadwal-timnas-indonesia-vs-thailand-di-kualifikasi-piala-dunia-2022-siaran-langsung-televisi
3 Kemenangan Terakhir Timnas Indonesia atas Thailand,liputan6.com,2019-09-10,13:00,Bola,Liga Indonesia," , akan bertemu Thailand di laga kedua di Kualifikasi Piala Dunia 2022 zona Asia Grup G. Indonesia akan menjadi tuan rumah di Stadion Gelora Bung Karno pada Selasa (10/9/2019) malam WIB.,Kemenangan menjadi harga mati bagi timnas Indonesia. Pasalnya pasukan Simon McMenemy kalah 2-3 dari Malaysia di kandang sendiri pada laga pertama di Kualifikasi Piala Dunia 2022 zona Asia.,Bukan perkara mudah mengalahkan Thailand. Pasalnya tim Gajah Perang sering menjadi momok bagi , di kawasan Asia Tenggara.,Pada laga kali ini Thailand jelas lebih diunggulkan meraih kemenangan. Pasalnya penampilan timnas Indonesia kala bertemu Malaysia sangat mengecewakan.,Meski Thailand jauh lebih dijagokan menang, , sebenarnya pernah beberapa kali mengalahkan Thailand. Berikut 3 kemenangan terakhir Timnas Indonesia atas Thailand:, , , ,Timnas Indonesia berhasil menang 2-1 atas Thailand di leg pertama final Piala AFF 2016. Ini merupakan kemenangan terakhir Indonesia atas Thailand.,Pada laga di Stadion Pakansari itu, timnas Indonesia sempat tertinggal lebih dulu di babak pertama oleh Teerasil Dangda. Di babak kedua Indonesia bangkit dan berhasil membalikkan keadaan berkat gol Rizky Ripora dan Hansamu Yama Pranata.,Sayannya Timnas Indonesia tetap gagal juara Piala AFF 2016. Di leg kedua Thailand bangkit dan menang 2-0 melalui gol dari striker Siroch Chatthong.,Pada 7 Desember 2010, Timnas Indonesia bertemu Thailand di partai ketiga Grup A. Ketika itu laga sudah tak menentukan bagi Indonesia karena sudah dipastikan lolos ke semifinal.,Sedangan Thailand wajib menang jika ingin terus melaju. Timnas Indonesia sukses mengubur impian Thailand setelah menang 2-1.,Tertinggal lebih dahulu oleh gol Suree Sukha, timnas Indonesia bangkit melalui dua gol Bambang Pamungkas di menit akhir.,Kemenangan timnas Indonesia ini membantu Malaysia lolos ke semifinal. Malaysia akhirnya menjegal ambisi Indonesia menjadi juara di partai final.,Timnas Indonesia berhasil mengalahkan Thailand 1-0 di ajang Turnamen Merdeka 2006. Saat itu Thailand turun dengan tim U-23.,Gol tunggal kemenangan Indonesia dibuat oleh I Gusti Bayu Sutha. Gol tersebut tercipta di menit 27. Bayu Sutha menanduk umpan dari Atep.,Kemenangan ini membuat Indonesia lolos ke final Turnamen Merdeka. Sayangnya Timnas Indonesia gagal juara setelah kalah dari Myanmar.",https://www.liputan6.com/bola/read/4058877/3-kemenangan-terakhir-timnas-indonesia-atas-thailand
Timnas Indonesia vs Thailand: Waspadai Gempuran Lawan,liputan6.com,2019-09-10,12:00,Bola,Liga Internasional," Pelatih Thailand, Akira Nishino, sudah menyiapkan cara untuk memenangkan pertandingan melawan , di Stadion Utama Gelora Bung Karno (SUGBK), Senayan, Jakarta, Selasa (10/9/2019). Pelatih asal Jepang itu sangat berambisi memetik poin penuh perdana setelah di laga sebelumnya dipaksa bermain skor kacamata oleh timnas Vietnam. ,Thailand dan ,sama-sama berada di grup G babak kedua kualifikasi Piala Dunia 2022 zona Asia. Namun nasib skuat Garuda lebih buruk karena di laga perdana dipaksa menyerah 2-3 oleh timnas Malaysia dan menempatkan Indonesia di posisi juru kunci. ,Dalam situasi ini, Thailand berharap bisa memetik penuh di GBK. Tidak hanya demi menjaga peluang menuju babak selanjutnya, tapi demi mengembalikan kepercayaan publiknya. Selama ini, Nishino yang baru ditunjuk sebagai pelatih dianggap belum menunjukkan kemampuannya sebagai sosok yang membawa Jepang ke 16 besar Piala Dunia 2018. ,""Setelah laga melawan Vietnam, kami harus mempersiapkan tim dan saya bisa katakan bahwa kami semakin baik,"" kata Nishino seperti dilansir Bangkok Post. ,""Meskipun kami kehilangan dua pilar karena cedera, semangat bertanding tim sangat positif. Untuk memenangkan laga ini, kami harus bisa mencetak gol lawan ,,"" bebernya. , ,Demi mewujudkan misi ini, Nishino meminta pemainnya agar jeli dalam membaca peluang. Dia juga berharap para pemain tidak ragu dalam melepas tembakan ke arah gawang. ,""Kami juga harus melakukan penetrasi ke zona serang lebih banyak dari saat kami bertemu Vietnam pada Kamis lalu,"" beber pelatih berusia 68 tahun tersebut menambahkan. ,Striker Supachai Jaided tentu saja bakal menjadi andalan lini depan Thailand saat bertemu timnas Indonesia. Dia akan dilayani oleh dua rekannya, Chanatip Songkrasin dan Supachok Sarachat. Menurut Nishino, kolaborasi ketiga pemain tersebut sudah semakin padu., ,Lalu bagaimana persiapan Indonesia? Pelatih Simon McMenemy, menyadari bukan hal mudah mengalahkan Thailand. Namun masa transisi pelatih di Negeri Gajah Putih itu bisa dimanfaatkan skuat Garuda dalam menembus kekalahan yang dialami dari Malaysia. ,""Mengalahkan Thailand, bukan perkara mudah tapi saya percaya tim saya punya peluang karena skuat Thailand belum tenang dalam cara mereka bermain,"" kata McMenemy. ,""Hal-hal seperti ini sering terjadi ketika pelatih baru datang mengambil alih dan Nishino belum terlalu lama di Thailand. Ini titik lemah mereka saat ini dan kami berharap bisa mengambil keuntungan dari situ,"" beber pelatih asal Skotlandia itu menambahkan. ,Saksikan juga video menarik di bawah ini:, ",https://www.liputan6.com/bola/read/4058868/timnas-indonesia-vs-thailand-waspadai-gempuran-lawan
Daftar Alumnus Audisi Beasiswa Bulu Tangkis PB Djarum,liputan6.com,2019-09-10,12:30,Bola,Sports," , menggelar Audisi Umum Beasiswa Bulu Tangkis sejak 2006. Akibat polemik dengan Komisi Perlindungan Anak Indonesia (KPAI) dan Yayasan Lentera Anak, mereka memutuskan audisi tahun ini sebagai kegiatan terakhir.,Sikap , disayangkan banyak pihak. Pasalnya, klub yang memulai aktivitas sejak 1969 tersebut kerap menyumbang atlet yang mengharumkan nama bangsa.,Beberapa nama yang merupakan binaan PB Djarum di antaranya Liem Swie King, Ivana Lie, Alan Budikusuma, Ardy B Wiranata, Rudy Gunawan, Haryanto Arbi, Tontowi Ahmad, Liliyana Natsir, dan Kevin Sanjaya Sukamuljo.,Sosok terakhir merupakan produk Audisi Umum Beasiswa Bulu Tangkis. Kevin masuk , setelah lolos audisi pada 2007.,Setelah dibina di klub, sosok berusia 24 tahun tersebut masuk pelatnas dan dipasangkan dengan Selvanus Geh. Kevin kemudian mencapai prestasi ketika berduet bersama Marcus Fernaldi Gideon.,Keduanya memenangkan berbagai gelar bergengsi, di antaranya All England 2017, 2018, BWF World Tour Finals 2017, Asian Games 2018, serta berstatus ganda putra nomor satu dunia.,Selain Kevin, sejumlah atlet pelatnas lain juga merupakan hasil Audisi Umum Beasiswa Bulu Tangkis 2019. Berry Angriawan dan Debby Susanto merupakan angkatan pertama yang bergabung PB Djarum pada 2006.,Berry saat ini berpasangan dengan Hardianto dan berkompetisi di nomor ganda putra. Sementara Debby pensiun tahun ini setelah memenangkan All England 2016 bersama Praveen Jordan, yang juga merupakan alumni audisi edisi 2008.,Berikut daftar lulusan Audisi Beasiswa Bulu Tangkis PB Djarum sejak 2006 yang kini membela Indonesia di panggung dunia:,: Berry Angriawan,: Gloria Emanuelle Widjaja, Kevin Sanjaya Sukamuljo, Shesar Hiren Rhustavito,: Praveen Jordan,: Annisa Saufika, Ihsan Maulana Mustofa,: Marsheilla Gischa Islami, Rinov Rivaldy, Ribka Sugiarto",https://www.liputan6.com/bola/read/4058869/daftar-alumnus-audisi-beasiswa-bulu-tangkis-pb-djarum
Alasan Legenda Inggris Tolak MU: Everton Masih Lebih Hebat,liputan6.com,2019-09-10,10:00,Bola,Liga Inggris," Gary Lineker membuat pengakuan menarik soal ,. Ternyata ia sempat menolak tawaran MU karena menganggapnya sebagai klub papan tengah.,Lineker merupakan salah satu legenda Inggris. Ia juga sempat membela beberapa klub ternama seperti Everton, Barcelona, hingga Tottenham Hotspur.,Pria yang sekarang menjadi komentator ini sempat diinginkan , pada bursa transfer tahun 1989. Namun akhirnya ia memilih pindah ke Tottenham setelah Barcelona menjualnya dengan harga 1,1 juta pound sterling.,""Saat itu jam 11 malam, negosiasi dengan Tottenham nyaris gagal. Agen saya pun berbicara dengan Alex Ferguson yang ingin membawa saya ke MU,"" kata Lineker seperti dilansir,""Namun Tottenham akhirnya kembali ke negosiasi dan menyanggupi harga yang diminta Barcelona. Lagipula saat itu , sebelum sebesar empat atau lima tahun kemudian,"" katanya menambahkan., , ,MU rupanya tak hanya sekali mendekati Lineker. Tahun 1985 mereka juga ingin membeli Lineker namun gagal.,Lineker lebih memilih pindah ke Everton walau hanya bermain selama semusim.,""Saya memang ingin pindah ke Everton. Sangat penting untuk diingat saat itu MU masih klub rata-rata,"" kata Lineker.,18.30 WIB, Liverpool vs Newcastle United,21.00 WIB, Brighton Albion vs Burnley FC,21.00 WIB, Manchester United vs Leicester City,21.00 WIB, Sheffield United vs Southampton,21.00 WIB, Tottenham Hotspur vs Crystal Palace,21.00 WIB, Wolverhampton vs Chelsea,23.30 WIB, Norwich City vs Manchester City,20.00 WIB, Bournemouth vs Everton,22.30 WIB, Watford vs Arsenal,02.00 WIB, Aston Villa Vs West Ham",https://www.liputan6.com/bola/read/4058749/alasan-legenda-inggris-tolak-mu-everton-masih-lebih-hebat
"Simon McMenemy: Lawan Tim Mana Pun, Timnas Indonesia Harus Menang",liputan6.com,2019-09-10,13:35,Bola,Liga Indonesia," Jakarta - Aroma kebangkitan tercium dari ,. Setelah kalah 2-3 dari Malaysia, reaksi tim berjulukan Skuat Garuda ini terbilang positif., akan melakoni pertandingan kedua Grup G putaran kedua Kualifikasi Piala Dunia 2022 Zona Asia menghadapi Thailand di Stadion Utama Gelora Bung Karno (SUGBK), Jakarta, Selasa (10/9/2019).,Armada Simon McMenemy ingin bangkit dari keterpurukan seusai menyerah 2-3 dari Malaysia di SUGBK, 5 September lalu pada partai pertama Grup G. Tak mau terus terpuruk, Skuat Garuda bertekad melampiaskan kekecewaan dengan menghajar Thailand.,""Kalau boleh jujur, buat saya, tak ada bedanya rivalitas dengan Malaysia dan Thailand. Melawan Brasil pun, Inggris pun, Bhayangkara FC pun, kami harus menang,"" kata McMenemy kepada wartawan.,""Tak berbeda dengan coach Simon McMenemy. Seandainya kami melawan Malaysia atau Brasil, sebagai pemain, sama saja. Mau itu Brasil, Inggris atau Malaysia, sama saja,"" timpal kapten ,, Andritany Ardhiyasa.,Timnas Indonesia membutuhkan poin penuh agar bisa bersaing di Grup G. Saat ini, Skuat Garuda masih terbenam di dasar klasemen dengan nihil poin dari satu laga.,Andai kembali kalah, perjalanan Timnas Indonesia kian berat. Apalagi, Skuat Garuda masih harus bertanding menghadapi Vietnam serta Uni Emirat Arab.,""Sebelum melawan Thailand, ada , dengan pemain. Kami bicara banyak sebagai pelatih dan pemain,"" imbub McMenemy.,Disadur dari ",https://www.liputan6.com/bola/read/4058748/simon-mcmenemy-lawan-tim-mana-pun-timnas-indonesia-harus-menang
Timnas Indonesia vs Thailand: McMenemy Kantongi Kelemahan Lawan,liputan6.com,2019-09-10,13:20,Bola,Liga Indonesia," Pelatih ,, Simon McMenemy, melihat dua celah yang bisa dimanfaatkan untuk meredam Thailand pada lanjutan grup G babak kualifikasi Piala Dunia 2022 zona Asia di Stadion Utama Gelora Bung Karno (SUGBK), Senayan, Selasa (10/9/2019). Selain transisi pelatih di skuat Gajah Putih, bocoran dari dua pemain Indonesia yang merumput di lapangan Thailand bakal memberi gambaran kekuatan lawan yang akan dihadapi sore ini. ,Baik Thailand dan Indonesia sama-sama gagal memetik kemenangan di laga perdana grup G. Gajah Putih lebih mujur karena mampu bermain imbang kacamata melawan Vietnam. Sementara ,harus menempati juru kunci usai kalah 2-3 dari Malaysia. ,""Kejadian seperti ini kerap terjadi saat pelatih baru mengambil alih dan (Akira) Nishino belum terlalu lama bersama timnas Thailand. Ini adalah titik lemah mereka dan kami berhadap bisa mengambil keuntungan dari sana,"" kata McMenemu dilansir Bangkok Post. ,Nishino belum lama ditunjuk menangani Timnas Thailand. Hasil imbang melawan Vietnam membuatnya menuai banyak kritik.  Nishino yang membawa Jepang hingga ke babak 16 besar Piala Dunia 2018 dianggap belum mengenal pasukannya secara detail. Formasi dan penempatan beberapa pemain Thailand saat bertemu Vietnam juga banyak dipertanyakan. ,McMenemy juga sama. Pelatih asal Skotlandia ini juga terbilang baru menangani skuat Merah Putih. Hanya saja, mantan pelatih timnas Filipina itu sedikit lebih diuntungkan karena telah lama berkecimpung di sepak bola Indonesia. McMenemy bahkan pernah membawa Bhayangkara FC menjuarai kasta tertinggi sepak bola ,a, Liga 1 2017. , , ,Namun tangan dingin McMenemy juga belum teruji. Debutnya bersama timnas Indonesia di ajang resmi tidak berjalan mulus setelah timnas Indonesia dikalahkan Malaysia di SUGBK. ,Duel melawan Thailand kembali jadi ujian bagi McMenemy. ""Kami sudah mempelajari rekaman pertandingan Thailand melawan Vietnam dan kami sudah menemukan ide brilian terkait gaya permainan mereka,"" ujar McMenemy dengan nada yang optimisits. ,""Kami punya dua pemain Indonesia di Liga Thailand dan mereka juga telah memberi kami beberapa tips,"" beber pria berusia 41 tahun tersebut menambahkan.,Dua pemain yang dimaksud McMenemy tentu saja Victor Igbonefo dan Yanto Basna. Igbonefo bermain untuk PTT Rayong dan Basna memperkuat Sukothai FC.  ,Saksikan juga video menarik di bawah ini:, , , ",https://www.liputan6.com/bola/read/4058921/timnas-indonesia-vs-thailand-mcmenemy-kantongi-kelemahan-lawan
"Kerap Koleksi Kartu Kuning, Pelatih Persib Desak Pemain Tahan Emosi",liputan6.com,2019-09-10,13:40,Bola,Liga Indonesia," , Bandung sering kehilangan pemain pada putaran pertama Shopee Liga 1 2019 akibat akumulasi kartu. Terdapat enam nama yang sering menghilang karena masalah disiplin.,Mengatasi masalah ini, pelatih , Robert Alberts meminta anak asuhnya menjaga emosi ketika kompetisi kembali bergulir. Karena itu, dia merasa tidak perlu menambah anggota skuat mengantisipasi absennya pemain.,""Apa yang kami miliki sudah cukup. Hanya tinggal memastikan pemain yang ada tidak mudah mendapat kartu kuning. Itu yang paling penting,"" kata Robert, dilansir situs resmi Liga 1.,Sosok asal Belanda itu melihat pemain , semestinya bisa menghindari kartu kuning. Pasalnya, banyak hukuman diterima karena melakukan protes berlebihan kepada pengadil pertandingan.,""Satu hal yang harus diperbaiki di putaran kedua adalah pemain tidak boleh terlalu mudah mendapat kartu kuning yang tidak penting. Kami menatap putaran kedua musim ini dan topik utamanya adalah tidak ada kartu kuning atau kartu merah tidak penting,"" bebernya.,Striker Ezechiel N'Douassel menjadi pelaku terbanyak kesalahan tersebut. Pemain asal Chad itu sudah dilarang tampil tiga kali karena mendapat tujuh kartu kuning.,Menyusul kemudian Achmad Jufriyanto (6 kartu kuning), Rene Mihelic (5), Hariono (4), Bojan Malisic (3), dan Ardi Idrus (3). Absennya pemain tersebut kerap memengaruhi stabilitas tim.",https://www.liputan6.com/bola/read/4058909/kerap-koleksi-kartu-kuning-pelatih-persib-desak-pemain-tahan-emosi
Real Madrid Mulai Dekati Virgil van Dijk,liputan6.com,2019-09-10,19:25,Bola,Liga Spanyol," Raksasa La Liga, , disebut tertarik untuk membajak bek milik Liverpool, Virgil van Dijk. Di sisi lain, pihak Liverpool juga tengah menyiapkan kontrak baru untuk bek berusia 28 tahun.,Virgil van Dijk bermain sangat apik pada musim 2018/2019 lalu. Dia dinilai telah meningkatkan kualitas Liverpool secara signifikan. Virgil van Dijk pun diganjar banyak gelar individual.,Selain itu, pemain yang dibeli dengan harga 75 juta pounds juga mampu membawa Liverpool berjaya di Eropa. Virgil van Dijk mengantar The Reds menjadi juara di pentas Liga Champions.,Performa apik Virgil van Dijk ini rupanya membuat , berniat untuk membajaknya. Real Madrid bakal melakukan manuver pada Januari 2020 mendatang. Mungkinkah Van Dijk akan pindah? Simak di bawah ini ya Bolaneters.,Dikutip dari Gazzetta dello Sport, saat ini Real Madrid tertarik pada Virgil van Dijk. Bek asal Belanda tersebut dinilai bisa menjadi solusi bagi lini belakang Madrid yang sejauh ini masih belum juga konsisten.,Dari tiga laga yang dimainkan di La Liga musim 2019/2020, Madrid selalu kebobolan. Sudah ada empat gol yang bersarang di gawang Real Madrid.,Kondisi itu membuat Madrid melirik Virgil van Dijk. Dia sedang berada di puncak performanya dan diyakini bakal menjadi pemain kunci jika pindah ke ,.,Virgil van Dijk sendiri disebut belum punya keinginan untuk pindah klub. Mantan pemain Glasgow Celtic tersebut lebih senang bertahan di Liverpool untuk durasi yang lebih lama lagi., ,Sementara itu, pihak Liverpool juga telah menyiapkan kontrak baru dengan durasi hingga tahun 2025. The Reds bakal menaikkan gaji Virgil van Dijk dengan jumlah yang signifikan.,Komposisi pertahanan Real Madrid masih sama dengan musim- musim sebelumnya. Sergio Ramos, sang kapten tim, diduetkan dengan Raphael Varane. Lalu ada Nacho Fernandez yang dipercaya menjadi pelapis.,Komposisi tersebut tidak cukup apik pada musim 2019/2020. Mereka dinilai sudah waktunya berganti pasangan. Madrid butuh pemain yang lebih segar. Apalagi, Sergio Ramos sudah berusia 33 tahun.,Real Madrid butuh bek tengah baru dan Virgil van Dijk memang layak untuk dipertimbangkan.",https://www.liputan6.com/bola/read/4058989/real-madrid-mulai-dekati-virgil-van-dijk
"Jadwal Timnas Indonesia vs Thailand, Siaran Langsung Televisi",liputan6.com,2019-09-10,17:42,Bola,Liga Indonesia," , kembali turun gelanggang di ajang Kualifikasi Piala Dunia 2022. Di laga kedua putaran kedua Grup G zona Asia, Tim Merah Putih ditantang Thailand di Stadion Utama Gelora Bung Karno (SUGB), Senayan, Jakarta.,Target menang pun diusung tinggi-tinggi. Maklum, di laga pertama, juga di kandang sendiri, , ditekuk Malaysia 2-3, Kamis (5/9/2019).,Maka itu, ini adalah kesempatan untuk bangkit dan mengalahkan Thailand, salah satu tim kuat di Asia Tenggara. Peluang pun terbuka, karena Andik Vermansah dan kawan-kawan akan tampil di hadapan suporter sendiri.,Di sisi lain, performa Thailand pun sedang kurung bagus. Di pertandingan pertama, mereka ditahan imbang Vietnam 0-0. ,Simak berikut ini jadwal , vs Thailand di PPD 2002 yang akan disiarkan langsung oleh TVRI dan Mola TV.,19:30 WIB: Indonesia vs Thailand,Venue: Stadion Utama Gelora Bung Karno,: Andritany Ardhiyasa (Kiper); Yustinus Pae, Victor Igbonefo, Yanto Basna, Ricky Fajrin (Belakang); Zulfiandi, Evan Dimas; Saddil Ramdani, Stefano Lilipaly, Andik Vermansah (Tengah); Alberto Goncalves (Depan),: Simon McMenemy,: Kawin Thamsatchanan (Kiper); Pansa Hemvibon, Tristan Do, Manuel Bihr, Theeratorn Boonmatan (Belakang); Tanaboon Kesarat, Sarach Yooyen, Phitiwat Sukjitthammakul, Supachok Sarachart, Chanathip Songkrasin (Tengah); Supachai Jaided (Depan),: Akira Nishino,Sumber: Bola.com,Disadur dari: Bola.com (Benediktus Gerendo P/Aditya Wicaksono, Published 10-09-2019)",https://www.liputan6.com/bola/read/4059305/jadwal-timnas-indonesia-vs-thailand-siaran-langsung-televisi
